,NSC,CID,SMILES,MECHANISM
89,3284,110653,C[N+]1(CCCC1C2=CN=CC=C2)CC[N+]3(CCCC3C4=CN=CC=C4)C,Other
90,3298,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-],Other
91,57759,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-],Other
92,3424,24180972,CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other
93,3531,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Other
94,759822,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Other
95,3618,220625,C1CCC(CC1)NC2CCC(CC2)NC3=C4C=CC(=CC4=NC=C3)Cl,Other
96,3628,24185366,CCN(CC)C1=CC=C(C=C1)NC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3.Cl,Other
97,3799,6436750,C1=CC(=CC(=C1)[N+](=O)[O-])C=CC(=O)C=CC2=CC(=CC=C2)[N+](=O)[O-],Other
98,3808,11441,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br,Other
99,3840,407288,C1=C(SC(=C1)[Hg]Cl)Cl,Other
100,3847,220712,CCC(=O)C1=CC(=C(S1)Br)[N+](=O)[O-],Other
101,3852,19103,C1=CC2=C(C=CC(=C2N=C1)O)N=O,Other
102,3877,24181001,C1=CC=[N+](C=C1)C2C3=CC=CC=C3C(C4=CC=CC=C24)[N+]5=CC=CC=C5.[Br-],Other
103,3905,70848,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,Other
104,36755,70848,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,Other
105,3907,142766,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,Other
106,3927,6870,CC(=O)NC1=C2C(=CSS2)N(C1=O)C,Other
107,3941,5354235,CC(=CC1=CC(=C(C=C1)Cl)Cl)[N+](=O)[O-],Other
108,23863,5354235,CC(=CC1=CC(=C(C=C1)Cl)Cl)[N+](=O)[O-],Other
109,3970,1174,C1=CNC(=O)NC1=O,Other
110,4045,17170,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,Other
111,93737,17170,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,Other
112,4060,220774,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Other
113,167406,220774,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Other
114,4112,7329,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Other
115,4114,72675,C1COCCN1.C1COCCN1C(=S)S,Other
116,4170,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Other
117,4184,5282363,C1=CC(=CC=C1C=CC2=CC=C(C=C2)O)O,Other
118,4232,220828,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)NC3=CC=CC(=C3)C(=O)O,Other
119,4236,668053,CN(C)C1=CC=C(C=C1)C=CC2=CC=NC3=CC=CC=C23,Other
120,4238,5713121,C[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-],Other
121,4239,12605846,C[N+]1=CC=C(C2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-],Other
122,4265,73350,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.Cl,Other
123,4272,72791,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2,Other
124,4280,65237,CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C,Other
125,4281,72792,CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C,Other
126,4285,14161,C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Other
127,4290,24181037,CCCCCC1=CC=[N+](C=C1)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Br-],Other
128,4291,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Other
129,4375,12947,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,Other
130,4378,24181064,CCN(CC)CC(C1=CC(=NC2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)Cl)O.Cl,Other
131,4432,6433371,CC1(C2=CC=CC=C2[N+](=C1C=CC3=CC=C(C=C3)N(C)CCCl)C)C.[Cl-],Other
132,4434,135436499,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(N(C4=CC=CC=C43)C)C5=CC=CC=C5)C)C,Other
133,4483,23673459,C1=CC=[N+](C(=C1)S)[O-].[Na+],Other
134,4512,220946,C1=CC=C(C=C1)S(=O)(=O)CC(C#N)I,Other
135,4518,220951,C1=CC(=C(C=C1C(=O)C2=CC(=C(C=C2)N)Br)Br)N,Other
136,4582,54603154,C1=CC(=C(C=C1Br)C=CC(=O)C=CC2=C(C=CC(=C2)Br)O)O,Other
137,4623,221007,C1=CC=C(C=C1)C2=NC(=C(N2)C(=O)O)C(=O)O,Other
138,4644,221023,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,Other
139,4681,24181093,C1=CC(=CC=C1OCC(=O)O)OCC(=O)O.[Na+],Other
140,4698,94837,CC1=CC(=C(C=C1SC#N)C(C)C)O,Other
141,4722,221037,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC(=C3)CO)OCC(C(C(C=O)O)O)O,Other
142,4728,19909,C1=NN=C(S1)N,Other
143,4810,3802861,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Other
144,4844,24181101,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.F[P-](F)(F)(F)(F)F,Other
145,4857,21192315,CCN(CC)C(=S)S.[Na+],Other
146,4896,5004,C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,Other
147,4911,2861016,C1=NC(=S)C2=C(N1)N(C=N2)C3C(C(C(O3)CO)O)O,Other
148,4962,7253,CC1=C(C=CC(=C1)O)O,Other
149,4972,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Other
150,5006,221117,CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.CC(=O)O,Other
151,5011,12449,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)[O-],Other
152,5019,92206,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC3=CC(=CC=C3)S(=O)(=O)O)C=C2)C4=CC=C(C=C4)N(CC)CC5=CC(=CC=C5)S(=O)(=O)O,Other
153,5031,16129878,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Other
154,5048,79174,C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)[N+](=O)[O-],Other
155,5053,9283,C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],Other
156,5062,2827274,C=CC[N+]12CN3CN(C1)CN(C3)C2.[I-],Other
157,5066,69095,CC1=CC(=CC(=C1N=NC2=CC=C(C=C2)[N+](=O)[O-])O)O,Other
158,5113,4871,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,Other
159,5159,5351130,CC1C(C(C(C(O1)OC2=CC=CC3=C2C4=C5C6=C(C=CC(=C6C(=O)O4)C)OC(=O)C5=C3O)OC7C(C(C(C(O7)C)O)OC)O)O)O,Other
